Actor	Fell
Obj_TreeDead_A_01_Stump	0
Obj_TreeDead_A_01_Trunk	0
Obj_TreeDead_A_Snow_01	1
Obj_TreeDead_A_Snow_01_Stump	0
Obj_TreeDead_A_Snow_01_Trunk	0
Obj_TreeDorian_A_01	1
Obj_TreeDorian_A_01_Stump	0
Obj_TreeDorian_A_01_Trunk	0
Obj_TreeDragonblood_A_01	0
Obj_TreeDragonblood_A_02	0
Obj_TreeDragonblood_A_03	1
Obj_TreeDragonblood_A_03_Stump	0
Obj_TreeDragonblood_A_03_Trunk	0
Obj_TreeDragonblood_A_04	0
Obj_TreeDragonblood_A_05	0
Obj_TreeDragonblood_Root_A_01	0
Obj_TreeGashamahiBase_A_01	0
Obj_TreeGashamahiBase_A_01_Far	0
Obj_TreeGashamahiBase_A_02	0
Obj_TreeGashamahiBase_A_02_Far	0
Obj_TreeGashamahi_A_01	0
Obj_TreeGashamahi_A_03	0
Obj_TreeGashamahi_A_04	0
Obj_TreeGashamahi_A_05	0
Obj_TreeGashamahi_A_06	0
Obj_TreeGashamahi_A_07	0
Obj_TreeGashamahi_A_08	0
Obj_TreeGashamahi_A_09	0
Obj_TreeGhost_A_01	0
Obj_TreeGhost_A_02	0
Obj_TreeGhost_A_03	1
Obj_TreeGhost_A_03_Stump	0
Obj_TreeGhost_A_03_Trunk	0
Obj_TreeGhost_A_04	0
Obj_TreeGiantHollow_A_01	0
Obj_TreeGiantHollow_A_02	0
Obj_TreeGiant_A_01	0
Obj_TreeLog_A_01_Trunk	0
Obj_TreeMaple_A_01	1
Obj_TreeMaple_A_01_Stump	0
Obj_TreeMaple_A_01_Trunk	0
Obj_TreeMaple_A_02	1
Obj_TreeMaple_A_02_Stump	0
Obj_TreeMaple_A_02_Trunk	0
Obj_TreeMaple_A_LL_01	0
Obj_TreeMaple_B_01	1
Obj_TreeMaple_B_01_Stump	0
Obj_TreeMaple_B_01_Trunk	0
Obj_TreeMaple_B_02	1
Obj_TreeMaple_B_02_Stump	0
Obj_TreeMaple_B_02_Trunk	0
Obj_TreeMaple_C_01	1
Obj_TreeMaple_C_01_Stump	0
Obj_TreeMaple_C_01_Trunk	0
Obj_TreeMaple_C_02	1
Obj_TreeMaple_C_02_Stump	0
Obj_TreeMaple_C_02_Trunk	0
Obj_TreePalmBeach_A_01	1
Obj_TreePalmBeach_A_01_Stump	0
Obj_TreePalmBeach_A_01_Trunk	0
Obj_TreePalmBeach_A_02	1
Obj_TreePalmBeach_A_02_Stump	0
Obj_TreePalmBeach_A_02_Trunk	0
Obj_TreePalmJungle_A_LL_01	0
Obj_TreePalmMini_A_01	1
Obj_TreePalmMini_B_01	1
Obj_TreePalm_A_01	1
Obj_TreePalm_A_01_Stump	0
Obj_TreePalm_A_01_Trunk	0
Obj_TreePalm_A_02	1
Obj_TreePalm_A_02_Stump	0
Obj_TreePalm_A_02_Trunk	0
Obj_TreePine_A_01	1
Obj_TreePine_A_01_Stump	0
Obj_TreePine_A_01_Trunk	0
Obj_TreeSnowberry_A	1
Obj_TreeStump_Broadleaf_A_01	0
Obj_TreeStump_Coniferous_A_01	0
Obj_TreeStump_Moss_A_01	0
Obj_TreeTropicalLow_A_01	1
Obj_TreeTropical_A_LL_01	0
Obj_TreeUmeTree_A_01	1
Obj_TreeUmeTree_A_02	1
Obj_TreeWhiteBirch_A_01	1
Obj_TreeWhiteBirch_A_01_Stump	0
Obj_TreeWhiteBirch_A_01_Trunk	0
Obj_TreeWhiteBirch_A_02	1
Obj_TreeWhiteBirch_A_02_Stump	0
Obj_TreeWhiteBirch_A_02_Trunk	0
Obj_TreeWhiteBirch_A_03	1
Obj_TreeWhiteBirch_A_03_Stump	0
Obj_TreeWhiteBirch_A_03_Trunk	0
Obj_TreeWhiteBirch_A_04	1
Obj_TreeWhiteBirch_A_04_Stump	0
Obj_TreeWhiteBirch_A_04_Trunk	0
Obj_TreeWillow_A_01	1
Obj_TreeWillow_A_01_Stump	0
Obj_TreeWillow_A_01_Trunk	0
Obj_TreeZoraLow_A_01	1
Obj_TreeZoraLow_A_02	1
Obj_TreeZoraLow_B_01	1
Obj_TreeZoraLow_B_02	1
